sequence,method,seed,num_outages,poserr_rms,first3_nis_seed_mean
UZH_Indoorforward_9_davis,Ours,7,1,1.3053907223995929,0.0317269331992725
UZH_Indoorforward_9_davis,Ours,8,1,0.9524642772787351,0.06562131189636053
UZH_Indoorforward_9_davis,Ours,9,1,8.296791333244396,0.08819160280689442
UZH_Outdoor45_1_davis,Baseline,0,1,1.268761760725249,0.0760276805428196
UZH_Outdoor45_1_davis,Baseline,1,1,3.703955794600192,0.3354962234034913
UZH_Outdoor45_1_davis,Baseline,2,1,1.268761760725249,0.0760276805428196
UZH_Outdoor45_1_davis,Baseline,3,1,1.963911077658347,0.04609094728036778
UZH_Outdoor45_1_davis,Baseline,4,1,3.731415024570328,0.13241639890208004
UZH_Outdoor45_1_davis,Baseline,5,1,2.5880065651395223,0.19060648097809446
UZH_Outdoor45_1_davis,Baseline,6,1,1.7531746677340208,0.0603926866533664
UZH_Outdoor45_1_davis,Baseline,7,1,2.741107389923002,0.21523841099993335
UZH_Outdoor45_1_davis,Baseline,8,1,2.3964615763449957,0.28078800526976344
UZH_Outdoor45_1_davis,Baseline,9,1,1.7531746677340208,0.0603926866533664
UZH_Outdoor45_1_davis,Ours,0,1,2.376509152853235,0.25298717972118223
UZH_Outdoor45_1_davis,Ours,1,1,5.944908101348677,1.0151269902043567
UZH_Outdoor45_1_davis,Ours,2,1,2.376509152853235,0.25298717972118223
UZH_Outdoor45_1_davis,Ours,3,1,2.8701328100036387,0.14047397440030768
UZH_Outdoor45_1_davis,Ours,4,1,6.696988577251586,0.37810605641012757
UZH_Outdoor45_1_davis,Ours,5,1,5.05807417306747,0.5000082820182755
UZH_Outdoor45_1_davis,Ours,6,1,3.3388723671629803,0.21318765775759144
UZH_Outdoor45_1_davis,Ours,7,1,4.428027021766297,0.5171191873375097
UZH_Outdoor45_1_davis,Ours,8,1,3.738463245382788,0.6923286281775785
UZH_Outdoor45_1_davis,Ours,9,1,3.3388723671629803,0.21318765775759144
UZH_Outdoorforward_3_davis,Baseline,0,3,7.6967737573736255,0.3217981633310513
UZH_Outdoorforward_3_davis,Baseline,1,3,4.836302189638448,0.25866916028846093
UZH_Outdoorforward_3_davis,Baseline,2,3,6.355996299421567,0.5121690534923804
UZH_Outdoorforward_3_davis,Baseline,3,3,10.498879903300043,1.0519213150223774
UZH_Outdoorforward_3_davis,Baseline,4,3,2.669237512836091,0.281050200062157
UZH_Outdoorforward_3_davis,Baseline,5,3,5.902133680304102,0.40525126355724467
UZH_Outdoorforward_3_davis,Baseline,6,3,9.306116009582011,0.6527323851451716
UZH_Outdoorforward_3_davis,Baseline,7,3,8.751208997133693,0.7045201382279305
UZH_Outdoorforward_3_davis,Baseline,8,3,4.121208214061996,0.4160630631556886
UZH_Outdoorforward_3_davis,Baseline,9,3,5.62348895813907,0.388864766896698
UZH_Outdoorforward_3_davis,Ours,0,3,2.0228287912983616,0.02621328442910079
UZH_Outdoorforward_3_davis,Ours,1,3,2.9091625887017862,0.07230421228534874
UZH_Outdoorforward_3_davis,Ours,2,3,2.279182714992918,0.06195031956332815
UZH_Outdoorforward_3_davis,Ours,3,3,3.112132186569848,0.11296216802077819
UZH_Outdoorforward_3_davis,Ours,4,3,1.094273214044881,0.03970537723627976
UZH_Outdoorforward_3_davis,Ours,5,3,1.420731212168733,0.03389088800628191
UZH_Outdoorforward_3_davis,Ours,6,3,4.105910657235419,0.08678479526978339
UZH_Outdoorforward_3_davis,Ours,7,3,2.9920407720980475,0.07490492257402158
UZH_Outdoorforward_3_davis,Ours,8,3,2.3608060849603167,0.09035288573263249
UZH_Outdoorforward_3_davis,Ours,9,3,1.3657532846153788,0.032402566114393724
